rank,content_id,client_id,position_tier,impressions_90d,ctr,pred_prob,ctr_gap_score,archetype,reason_low_ctr_vs_tier,reason_high_stakes,reason_model_flagged,high_confidence
3090,content_d64d5e3e8194,client_f74efabef1,page_1,2370,0.08,0.5929381527409124,0.15999999999999998,ctr_only_underperformer,True,False,True,False
3091,content_5d69385ecd3e,client_6208ef0f77,striking,1117,0.09,0.5929370831084418,0.08000000000000002,ctr_only_underperformer,True,False,True,False
3092,content_700979a24809,client_7f2253d7e2,striking,1980,0.05,0.5929029886918972,0.12000000000000001,dual_underperformer,True,False,True,False
3093,content_20ab9bcd058f,client_4e07408562,page_1,2029,0.1,0.5928679746354865,0.13999999999999999,ctr_only_underperformer,True,False,True,False
3094,content_7544a91be0d5,client_19581e27de,page_1,5385,0.26,0.5928436205917325,0.0,healthy,False,False,True,False
3095,content_a7f0498840e9,client_19581e27de,page_1,2458,0.24,0.5928025146041902,0.0,engagement_only_underperformer,False,False,True,False
3096,content_5008a184a9ed,client_4e07408562,striking,4400,0.14,0.5927967159067264,0.03,dual_underperformer,True,False,True,False
3097,content_adb5abbf8aea,client_6208ef0f77,page_1,998,0.2,0.5927845722951829,0.03999999999999998,ctr_only_underperformer,True,False,True,False
3098,content_89b8af9c2e3d,client_d029fa3a95,page_1,1738,0.0,0.5927590559540357,0.24,ctr_only_underperformer,True,False,True,False
3099,content_7df2ad352b3a,client_19581e27de,striking,1541,0.0,0.5926964205098351,0.17,ctr_only_underperformer,True,False,True,False
3100,content_72c79c304699,client_7f2253d7e2,striking,982,0.0,0.5926797351057618,0.17,ctr_only_underperformer,True,False,True,False
3101,content_ec31e7041c89,client_349c41201b,striking,1153,0.09,0.5926687471527052,0.08000000000000002,dual_underperformer,True,False,True,False
3102,content_d6a24dfed965,client_6208ef0f77,page_1,1070,0.0,0.5926650064724035,0.24,ctr_only_underperformer,True,False,True,False
3103,content_2b71f084d986,client_f74efabef1,page_1,627,0.32,0.5926602364435136,0.0,engagement_only_underperformer,False,False,True,False
3104,content_38a43a48c9cf,client_a88a7902cb,striking,1029,0.19,0.5926268444493272,0.0,healthy,False,False,True,False
3105,content_97a36e9e956f,client_7f2253d7e2,striking,1287,0.08,0.5925796533687974,0.09000000000000001,ctr_only_underperformer,True,False,True,False
3106,content_1c919f9ed090,client_3fdba35f04,striking,1007,0.79,0.5925782351518984,0.0,healthy,False,False,True,False
3107,content_478f9d462947,client_19581e27de,striking,4585,0.35,0.5925676975552676,0.0,engagement_only_underperformer,False,False,True,False
3108,content_2ad705808431,client_19581e27de,page_1,8913,0.08,0.5925563564976061,0.15999999999999998,ctr_only_underperformer,True,True,True,False
3109,content_a502f235c9a2,client_7f2253d7e2,striking,702,0.0,0.5925507217697826,0.17,ctr_only_underperformer,True,False,True,False
3110,content_553e061fbdb6,client_6208ef0f77,page_1,588,0.34,0.5925491921147025,0.0,engagement_only_underperformer,False,False,True,False
3111,content_65629be9dbb5,client_6208ef0f77,page_1,1230,0.0,0.5925412179450614,0.24,ctr_only_underperformer,True,False,True,False
